Job Category,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12,Skill 13,Skill 14,Skill 15,Skill 16,Skill 17,Skill 18
Software Engineering,Oracle,XML,PyTorch,Redux,Angular Java,Debugging,Database Design,MongoDB,Keras,Laravel,React,mongoDB,FastAPI,Pandas,,,,
Software Engineering,Redux,JDK17,Oracle,Flask,Backend,Database Design,React.js,PostgreSQL,jQuery,JSON,Ajax,,,,,,,
Software Engineering,React.js,Pandas,Linux,Git,Laravel,Platform,Angular,Debugging,,,,,,,,,,
Software Engineering,API Development,MSSQL,mongoose,Core,jQuery,Next.js,OOP,XML,RESTful,Laravel,MongoDB,,,,,,,
Software Engineering,API,XML,Next.js,Scikit-learn,Integration,Programmer,FastAPI,JavaScript,SDLC,Server,ASP.NET,Groovy,Software,Linux,,,,
Software Engineering,Next.js,Pandas,JSON,React.js,Machine Learning AI,Leadership,Programmer,.Net Angular,,,,,,,,,,
Software Engineering,PyTorch,WebAPI,APEX,Pandas,JavaScript,RESTful,Database Design,Laravel,,,,,,,,,,
Software Engineering,SDLC,Angular Java,SpringBoot,Oracle,React,Leadership,Core,Framework,PHP,MySQL,Redux,PyTorch,Laravel,Google,Boot,,,
Software Engineering,Debugging,Data Structures,Machine Learning,Integration,Backend,Docker,APEX,API,Architecture Design Patterns,SQL,FastAPI,SDLC,Git,,,,,
Software Engineering,.Net Angular,JSON,NumPy,Spring,Server,WebAPI,Angular,Java,Backend,,,,,,,,,
Software Engineering,Oracle,C#,Backend,Azure,jQuery,Integration,NumPy,Redux,Leadership,,,,,,,,,
Software Engineering,Pandas,PostgreSQL,Python,MySQL,jQuery,React.js,ASP.NET,C#,Architecture Design Patterns,Next.js,Github,,,,,,,
Software Engineering,NumPy,Platform,Architecture Design Patterns,Oracle,NodeJS,Database Design,mongoDB,Entity,JDK17,jQuery,WebAPI,Linux,Next.js,APEX,Software,Development,,
Software Engineering,Ajax,Google,PostgreSQL,SpringBoot,Development,OOP,API Development,SQL,Architecture Design Patterns,,,,,,,,,
Software Engineering,SDLC,SQL,Azure,Flask,JSON,Platform,Python,Groovy,RegEx,Linux,mongoDB,PostgreSQL,Docker,RESTful,,,,
Software Engineering,JSON,Ajax,Leadership,JavaScript,Linux,Redux,FastAPI,Machine Learning AI,mongoose,Azure,Data Structures,Backend,MSSQL,Development,,,,
Software Engineering,Python,SDLC,NumPy,FastAPI,Angular,WebAPI,Pandas,Entity,jQuery,OOP,Git,React,,,,,,
Software Engineering,TensorFlow,Entity,Cloud,Development,Boot,SQL,mongoose,Keras,,,,,,,,,,
Software Engineering,Google,SQL,OOP,Pandas,APEX,Software,EE,Machine Learning,,,,,,,,,,
Software Engineering,JDK17,Angular Java,Ajax,Server,Node.js,Java,PHP,MongoDB,Linux,Leadership,Git,NoSQL,,,,,,
Software Engineering,Cloud,Programmer,Ajax,Entity,Keras,Python,Groovy,SQL,Java,PyTorch,Node.js,,,,,,,
Software Engineering,API,C#,NodeJS,Keras,Google,MongoDB,Powerpoint,mongoDB,AI,Docker,Programmer,Next.js,Leadership,APEX,NumPy,Dotnet,,
Software Engineering,Java,PostgreSQL,React,PHP,Angular,JDK17,EE,Data Structures,GCP,Google,SQL,Boot,,,,,,
Software Engineering,Angular,MySQL,SDLC,Docker,Software,RegEx,API,Oracle,Spring,Java,Core,MSSQL,,,,,,
Software Engineering,Flask,Git,C#,Spring,Debugging,JSON,RegEx,.Net Angular,XML,mongoose,TensorFlow,JavaScript,Boot,jQuery,,,,
Software Engineering,Machine Learning,Cloud,Pandas,React,Angular,Programmer,Server,Framework,JavaScript,Git,Database Design,EE,SpringBoot,,,,,
Software Engineering,NoSQL,Next.js,Pandas,jQuery,WebAPI,AWS,ReactJS,Docker,PostgreSQL,Leadership,Vue,API,JavaScript,,,,,
Software Engineering,Java,Boot,React,Leadership,C#,Spring,Github,Backend,FastAPI,RESTful,,,,,,,,
Software Engineering,Core,Server,Docker,Github,.Net Angular,mongoose,Angular Java,Machine Learning,ReactJS,React,SQL,FastAPI,PyTorch,,,,,
Software Engineering,Programmer,Flask,SDLC,Debugging,PyTorch,Architecture Design Patterns,.Net Angular,Leadership,mongoose,TensorFlow,Laravel,NoSQL,Oracle,FastAPI,Backend,,,
